==============================================================================
A. CORPUS-WIDE: ids declared by MORE THAN ONE script instance
==============================================================================
total distinct ids in corpus: 1409 ; multi-script ids: 614
  0x00001069  5 scripts ['2a5e7490', '4a566c14', '4a566d6e', '8a5e7bd2', 'ca566f94']  sizes [(72, 18), (82, 18)]
  0x0000106A  2 scripts ['aa5e14cc', 'ca566f94']  sizes [(72, 18), (82, 18)]
  0x0000106B  41 scripts ['0a8b819e', '0a8b98fe', '0a8b9a67', '0a8b9c43', '0a8b9c6a', '2a8b7e1c', '2a8b97c1', '2a8b99d0', '2a8b9df2', '2c096de6', '4a8b7fe7', '4a8b9396', '4a8b9936', '4a8b9c92', '4a8b9dab', '4c0969e2', '6a8b9875', '6a8b9acc', '6a8b9af3', '8a8b95b0', '8a8b9811', '8a8b98a7', '8a8b9d12', 'PLUGIN:12121201', 'PLUGIN:12121205', 'PLUGIN:9b868f68', 'PLUGIN:ca8b8564', 'aa8b9755', 'aa8b9971', 'aa8b999e', 'ac096ac7', 'ca8b8408', 'ca8b8564', 'ca8b96c2', 'ca8b9845', 'ca8b9aa2', 'ca8b9ce7', 'ca8b9d40', 'cc097fc0', 'ea8b82db', 'ec096e72']  sizes [(40, 18), (82, 18), (82, 20)]
  0x0000106C  26 scripts ['0a8b819e', '0a8b98fe', '0a8b9a67', '2a8b97c1', '2c096de6', '4a8b7fe7', '4a8b9396', '4a8b9936', '4a8b9dab', '4c0969e2', '6a8b9875', '6a8b9acc', '8a8b9811', '8a8b98a7', 'PLUGIN:9b868f68', 'aa8b9755', 'aa8b9971', 'aa8b999e', 'ac096ac7', 'ca8b8408', 'ca8b9845', 'ca8b9ce7', 'ca8b9d40', 'cc097fc0', 'ea8b82db', 'ec096e72']  sizes [(40, 18), (82, 18)]
  0x00001073  2 scripts ['PLUGIN:ea565970', 'ea565970']  sizes [(82, 18)]
  0x00001074  2 scripts ['4a5672bf', 'ca56783a']  sizes [(82, 18), (82, 19)]
  0x00001075  3 scripts ['2a567dc1', '4a5672bf', 'ca56783a']  sizes [(82, 18)]
  0x00001076  5 scripts ['2a567dc1', '4a5672bf', 'PLUGIN:ea565970', 'ca56783a', 'ea565970']  sizes [(82, 18), (82, 19)]
  0x00001077  3 scripts ['2a567dc1', '4a5672bf', 'ca56783a']  sizes [(82, 18)]
  0x00001079  3 scripts ['2a567dc1', '4a5672bf', 'ca56783a']  sizes [(268, 18)]
  0x0000107A  3 scripts ['2a567dc1', '4a5672bf', 'ca56783a']  sizes [(255, 24)]
  0x00001109  2 scripts ['2a554f6d', 'PLUGIN:2a554f6d']  sizes [(82, 18), (100, 18)]
  0x00001118  10 scripts ['2a564884', '2a8b7e1c', '4a8b7fe7', '6a555a84', '8a554483', 'PLUGIN:12121201', 'PLUGIN:12121205', 'PLUGIN:ca8b8564', 'aa565036', 'ea8b82db']  sizes [(82, 18), (82, 20)]
  0x00001119  3 scripts ['8a554483', 'PLUGIN:12121205', 'PLUGIN:ca8b8564']  sizes [(82, 18), (82, 20)]
  0x00001121  2 scripts ['aa554aea', 'ca8b8408']  sizes [(82, 18)]
  0x00001163  2 scripts ['6a562f56', 'ea5655e4']  sizes [(82, 20)]
  0x0000124B  4 scripts ['2a5e7490', '4a5e7ed3', '8a5e7bd2', 'aa5e14cc']  sizes [(72, 18)]
  0x0000124C  4 scripts ['2a5e7490', '4a5e7ed3', '8a5e7bd2', 'aa5e14cc']  sizes [(72, 18)]
  0x0000124E  3 scripts ['2a5e7490', '8a5e7bd2', 'aa5e14cc']  sizes [(72, 18)]
  0x00001268  2 scripts ['2a5e7490', '8a5e7bd2']  sizes [(72, 18)]
  0x00001269  3 scripts ['2a5e7490', '8a5e7bd2', 'aa5e14cc']  sizes [(72, 18)]
  0x00002000  4 scripts ['6bc61f19', '8a5ab1cb', '8a5ab1cd', 'ebd0d36c']  sizes [(150, 30), (183, 18), (278, 20), (296, 28)]
  0x00002001  3 scripts ['6bc61f19', '8a5ab1cd', 'ebd0d36c']  sizes [(150, 30), (183, 18), (296, 28)]
  0x00002002  2 scripts ['6bc61f19', '8a5ab1cd']  sizes [(184, 16), (296, 28)]
  0x00004001  3 scripts ['6bc9065a', 'ea2871aa', 'ebd0d36c']  sizes [(156, 18), (166, 20), (170, 68)]
  0x00004002  2 scripts ['6bc9065a', 'ea2871aa']  sizes [(156, 18)]
  0x00004003  2 scripts ['6bc9065a', 'ea2871aa']  sizes [(156, 18), (162, 18)]
  0x00004004  2 scripts ['6bc9065a', 'ea2871aa']  sizes [(156, 18), (162, 18)]
  0x00004005  2 scripts ['6bc9065a', 'ea2871aa']  sizes [(166, 18)]
  0x00004006  2 scripts ['6bc9065a', 'ea2871aa']  sizes [(166, 18)]
  0x00004007  2 scripts ['6bc9065a', 'ea2871aa']  sizes [(166, 18)]
  0x00004008  2 scripts ['6bc9065a', 'ea2871aa']  sizes [(166, 18)]
  0x00004009  2 scripts ['6bc9065a', 'ea2871aa']  sizes [(166, 18)]
  0x0000400A  2 scripts ['6bc9065a', 'ea2871aa']  sizes [(166, 18)]
  0x0000400B  2 scripts ['6bc9065a', 'ea2871aa']  sizes [(166, 18)]
  0x0000400C  2 scripts ['6bc9065a', 'ea2871aa']  sizes [(166, 18)]
  0x0000400D  2 scripts ['6bc9065a', 'ea2871aa']  sizes [(166, 18)]
  0x0000400E  2 scripts ['6bc9065a', 'ea2871aa']  sizes [(156, 18)]
