# Art the engine binds as ITEM ICONS (lot / building thumbnails).
# Generated by tools\upscale\find_thumbnails.py - do not hand-edit.
# Derived, not guessed: every PNG the ItemIcons + ItemIconsSub packages
# carry, i.e. what stage_icons.py reads off the exemplars' item-icon
# references and what build_itemicons_sub.py packs from the submenu sets.
# At a fractional factor these keep the plain copy path (nearest): a
# rendered picture wants hard pixels, the user's 2026-09-01 verdict.
# sources: z_SC4UIScale_ItemIcons-15x.dat=356, z_SC4UIScale_ItemIconsSub-15x.dat=130
# groups: 6a386d26=485
# <group> <instance>
6a386d26 ca9ef151
6a386d26 caef4300
6a386d26 cbb28d28
6a386d26 cbb2cc2c
6a386d26 cbf0755d
6a386d26 cbf0755e
6a386d26 cbf0755f
6a386d26 cbfb459c
6a386d26 cbfb459d
6a386d26 cbfb459e
6a386d26 cc09b91c
6a386d26 cc09b91d
6a386d26 cc0c44f8
6a386d26 cc0c44f9
6a386d26 cc291902
6a386d26 cc3389be
6a386d26 cc34c7fe
6a386d26 cc3cacdb
6a386d26 cca25261
6a386d26 ccae4fc4
6a386d26 cde0316b
6a386d26 ce21dbeb
6a386d26 cea5f22c
6a386d26 d013f32d
6a386d26 d2430e09
6a386d26 d547c3d3
6a386d26 d5649c89
6a386d26 d86b3b3b
6a386d26 dd5dc0e7
6a386d26 deffd960
6a386d26 e27b7ef6
6a386d26 e30b61a4
6a386d26 e75d823a
6a386d26 ea353c30
6a386d26 ea4c0d21
6a386d26 ea50ed5f
6a386d26 ea650d22
6a386d26 ea6f7e2c
6a386d26 ea8b7d2e
6a386d26 ea8b7dbd
6a386d26 ea8b7df8
6a386d26 ea8dc2d1
6a386d26 ea8dc3e2
6a386d26 ea8dc45b
6a386d26 ea91888b
6a386d26 ea918908
6a386d26 ea9abb17
6a386d26 eab7ea76
6a386d26 eac7d410
6a386d26 eac8e2dc
6a386d26 eae115bb
6a386d26 eb75882c
6a386d26 ebba31ef
6a386d26 ebfc6eda
6a386d26 ebfc6edb
6a386d26 ec09879e
6a386d26 ec09879f
6a386d26 ec16bc0d
6a386d26 ecd05aee
6a386d26 ed2174a0
6a386d26 ef2c3770
6a386d26 f034265c
