archive : <PROJECT-ROOT> 1 Project\1 Completed Projects\SC4UIScale\tools\packages\15x\z_SC4UIScale_SelectiveArt-15x.dat  (21339964 bytes)
version : DBPF 1.0   index 7.0
dates   : created 0x6A8455DA  modified 0x6A8455DA
index   : 655 entries @ 0x1456C10 (13100 bytes)
holes   : 0 @ 0x0 (0 bytes)
DIR     : compression directory absent (all uncompressed)

TypeID     GroupID    InstanceID Offset     Size
0x856DDBAC 0x46A006B0 0x14015574 0x0038D4BB 11237
0x856DDBAC 0x46A006B0 0x14015575 0x003900A0 15153
0x856DDBAC 0x46A006B0 0x14015576 0x00393BD1 10796
0x856DDBAC 0x46A006B0 0x14015577 0x003965FD 2460
0x856DDBAC 0x46A006B0 0x14015578 0x00396F99 9896
0x856DDBAC 0x46A006B0 0x14015579 0x00399641 3413
0x856DDBAC 0x46A006B0 0x1401557A 0x0039A396 8364
0x856DDBAC 0x46A006B0 0x1401557C 0x0039C442 10520
0x856DDBAC 0x46A006B0 0x14015580 0x0039ED5A 6110
0x856DDBAC 0x46A006B0 0x14015581 0x003A0538 51409
0x856DDBAC 0x46A006B0 0x14015583 0x003ACE09 12529
0x856DDBAC 0x46A006B0 0x14015584 0x003AFEFA 349
0x856DDBAC 0x46A006B0 0x14015585 0x003B0057 629
0x856DDBAC 0x46A006B0 0x14015590 0x003B02CC 2468
0x856DDBAC 0x46A006B0 0x14015591 0x003B0C70 9732
0x856DDBAC 0x46A006B0 0x14015592 0x003B3274 8446
0x856DDBAC 0x46A006B0 0x14015593 0x003B5372 11083
0x856DDBAC 0x46A006B0 0x140155B0 0x003B7EBD 3522
0x856DDBAC 0x46A006B0 0x140155B1 0x003B8C7F 9057
0x856DDBAC 0x46A006B0 0x140155B3 0x003BAFE0 2954
0x856DDBAC 0x46A006B0 0x140155B4 0x003BBB6A 7983
0x856DDBAC 0x46A006B0 0x140155B5 0x003BDA99 7463
0x856DDBAC 0x46A006B0 0x140155B6 0x003BF7C0 8537
0x856DDBAC 0x46A006B0 0x140155B7 0x003C1919 8031
0x856DDBAC 0x46A006B0 0x140155B8 0x003C3878 373
0x856DDBAC 0x46A006B0 0x140155B9 0x003C39ED 375
0x856DDBAC 0x46A006B0 0x140155C0 0x003C3B64 742
0x856DDBAC 0x46A006B0 0x140155C1 0x003C3E4A 1313
0x856DDBAC 0x46A006B0 0x140155C2 0x003C436B 709
0x856DDBAC 0x46A006B0 0x140155C3 0x003C4630 2131
0x856DDBAC 0x46A006B0 0x140155C4 0x003C4E83 1350
0x856DDBAC 0x46A006B0 0x140155C5 0x003C53C9 693
0x856DDBAC 0x46A006B0 0x140155C6 0x003C567E 2109
0x856DDBAC 0x46A006B0 0x140155C7 0x003C5EBB 820
0x856DDBAC 0x46A006B0 0x140155C8 0x003C61EF 169
0x856DDBAC 0x46A006B0 0x140155C9 0x003C6298 6530
0x856DDBAC 0x46A006B0 0x140155CA 0x003C7C1A 4475
0x856DDBAC 0x46A006B0 0x140155CB 0x003C8D95 1111
0x856DDBAC 0x46A006B0 0x140155CC 0x003C91EC 1169
0x856DDBAC 0x46A006B0 0x140155D0 0x003C967D 793
0x856DDBAC 0x46A006B0 0x140155D1 0x003C9996 1254
0x856DDBAC 0x46A006B0 0x140155D2 0x003C9E7C 919
0x856DDBAC 0x46A006B0 0x140155D3 0x003CA213 2127
0x856DDBAC 0x46A006B0 0x140155D4 0x003CAA62 1247
0x856DDBAC 0x46A006B0 0x140155D5 0x003CAF41 1155
0x856DDBAC 0x46A006B0 0x140155D6 0x003CB3C4 2087
0x856DDBAC 0x46A006B0 0x140155D7 0x003CBBEB 869
0x856DDBAC 0x46A006B0 0x140155E0 0x003CBF50 13515
0x856DDBAC 0x46A006B0 0x140155E1 0x003CF41B 46297
0x856DDBAC 0x46A006B0 0x140155E2 0x003DA8F4 6841
0x856DDBAC 0x46A006B0 0x140155E3 0x003DC3AD 11226
0x856DDBAC 0x46A006B0 0x140155E4 0x003DEF87 12669
0x856DDBAC 0x46A006B0 0x140155E5 0x003E2104 14333
0x856DDBAC 0x46A006B0 0x140155E6 0x003E5901 15370
0x856DDBAC 0x46A006B0 0x140155E9 0x003E950B 3046
