archive : C:\dev\SC4UIScale\tools\selective-safe\z_SC4UIScale_SelectiveArt.dat  (11872511 bytes)
version : DBPF 1.0   index 7.0
dates   : created 0x6A85A445  modified 0x6A85A445
index   : 693 entries @ 0xB4F2DB (13860 bytes)
holes   : 0 @ 0x0 (0 bytes)
DIR     : compression directory absent (all uncompressed)

TypeID     GroupID    InstanceID Offset     Size
0x856DDBAC 0x46A006B0 0x14215E34 0x0036F8B3 11419
0x856DDBAC 0x46A006B0 0x14215E35 0x0037254E 12242
0x856DDBAC 0x46A006B0 0x14215E40 0x00375520 12393
0x856DDBAC 0x46A006B0 0x14215E41 0x00378589 12553
0x856DDBAC 0x46A006B0 0x14215E42 0x0037B692 12978
0x856DDBAC 0x46A006B0 0x14215E43 0x0037E944 13142
0x856DDBAC 0x46A006B0 0x14215E44 0x00381C9A 12786
0x856DDBAC 0x46A006B0 0x14215E45 0x00384E8C 13060
0x856DDBAC 0x46A006B0 0x14215E50 0x00388190 11822
0x856DDBAC 0x46A006B0 0x14215E51 0x0038AFBE 13791
0x856DDBAC 0x46A006B0 0x14215E53 0x0038E59D 12900
0x856DDBAC 0x46A006B0 0x14215E54 0x00391801 13383
0x856DDBAC 0x46A006B0 0x14215E60 0x00394C48 12238
0x856DDBAC 0x46A006B0 0x14215E63 0x00397C16 12761
0x856DDBAC 0x46A006B0 0x14215E70 0x0039ADEF 12722
0x856DDBAC 0x46A006B0 0x14215E71 0x0039DFA1 12906
0x856DDBAC 0x46A006B0 0x14215E72 0x003A120B 12911
0x856DDBAC 0x46A006B0 0x14215E73 0x003A447A 12101
0x856DDBAC 0x46A006B0 0x14215E74 0x003A73BF 12959
0x856DDBAC 0x46A006B0 0x14215E75 0x003AA65E 13295
0x856DDBAC 0x46A006B0 0x14215E76 0x003ADA4D 12807
0x856DDBAC 0x46A006B0 0x14215E80 0x003B0C54 12570
0x856DDBAC 0x46A006B0 0x14315E60 0x003B3D6E 4394
0x856DDBAC 0x46A006B0 0x14315E61 0x003B4E98 3830
0x856DDBAC 0x46A006B0 0x14315E62 0x003B5D8E 4420
0x856DDBAC 0x46A006B0 0x14415860 0x003B6ED2 17563
0x856DDBAC 0x46A006B0 0x14415870 0x003BB36D 7725
0x856DDBAC 0x46A006B0 0x14415872 0x003BD19A 26251
0x856DDBAC 0x46A006B0 0x14415873 0x003C3825 25034
0x856DDBAC 0x46A006B0 0x14415874 0x003C99EF 24904
0x856DDBAC 0x46A006B0 0x14415875 0x003CFB37 8165
0x856DDBAC 0x46A006B0 0x14415876 0x003D1B1C 4311
0x856DDBAC 0x46A006B0 0x14415878 0x003D2BF3 25977
0x856DDBAC 0x46A006B0 0x14415879 0x003D916C 27961
0x856DDBAC 0x46A006B0 0x1441587A 0x003DFEA5 26005
