--- table at 0x00A8E6D0 [.rdata] 19 entries ---
   0x00B07CD0  0x00A806E0  advices
   0x00B07CD8  0x00A806E8  CN_PRF
   0x00B07CE0  0x00A827B8  text@0x%08x
   0x00B07CE8  0x00A827A0  text@%u
   0x00B07CF0  0x00A82790  CN_PDBS
   0x00B07CF8  0x00A806E0  advices
   0x00B07D00  0x00A82918  Adv
   0x00B07D08  0x00A81108  CN_PDBS
   0x00B07D10  0x00A806E0  advices
   0x00B07D18  0x00A806E8  CN_PRF
   0x00B07D20  0x00A806D0  CN_PDBS
   0x00B07D28  0x00A806E0  advices
   0x00B07D30  0x00A806E8  CN_PRF
--- table at 0x00B07D3C [.data] 8 entries ---
   0x00B07D3C  0x3F800000  CN_PDBS
   0x00B07D44  0x00A806E0  advices
   0x00B07D4C  0x00A806E8  CN_PRF
   0x00B07D54  0x00A806D0  MYSIM_BALLOON_FADE_DURATION
   0x00B07D5C  0x00A84AF0  MYSIM_BALLOON_HIDDEN_DURATION
   0x00B07D64  0x00A84AB0  MYSIM_TRIP_MIN_TIME_AT_TRANSIT_SWITCH
   0x00B07D6C  0x00A84A6C  MYSIM_TRIP_LOCAL_AREA_SIZE
   0x00B07D74  0x00A84A28  MYSIM_TRIP_APPROACH_DISTANCE
--- table at 0x00B07DA0 [.data] 6 entries ---
   0x00B07DA0  0xAC0C8DAD  advices
   0x00B07DA8  0x00A85078  CN_PDBS
   0x00B07DB0  0x00A806E0  advices
   0x00B07DB8  0x00A806E8  CN_PRF
   0x00B07DC0  0x3F800000  CN_PDBS
   0x00B07DC8  0x00A806E0  advices
--- table at 0x00B07DF4 [.data] 7 entries ---
   0x00B07DF4  0x0000000D  CN_PDBS
   0x00B07DFC  0x00A806E0  advices
   0x00B07E04  0x3F800000  CN_PDBS
   0x00B07E0C  0x00A806E0  advices
   0x00B07E14  0x3F800000  CN_PDBS
   0x00B07E1C  0x00A806E0  advices
   0x00B07E24  0x00A806E8  CN_PRF
--- table at 0x00B07E30 [.data] 22 entries ---
   0x00B07E30  0x3F800000  CN_PDBS
   0x00B07E38  0x00A806E0  CN_PDBS
   0x00B07E40  0x00A806E0  advices
   0x00B07E48  0x00A806E8  CN_PRF
   0x00B07E50  0x00A806D0  CN_PDBS
   0x00B07E58  0x00A806E0  advices
   0x00B07E60  0x00A806E8  CN_PRF
   0x00B07E68  0x00A806D0  Tutorial
   0x00B07E70  0x00A860E4  tutorial_tasks
   0x00B07E78  0x00A806E8  CN_PRF
   0x00B07E80  0x00A806D0  text@0x%08x
   0x00B07E88  0x00A827A0  text@%u
   0x00B07E90  0x00A82790  CN_PDBS
   0x00B07E98  0x00A806E0  advices
   0x00B07EA0  0x00A806E8  CN_PRF
   0x00B07EA8  0x00A8647C  Stopwatch
   0x00B07EB0  0x00A806E8  CN_PRF
   0x00B07EB8  0x00A86860  CreateException
   0x00B07EC0  0x00A86844  SimCity 4
   0x00B07EC8  0x00A86828  SimCity Exception Report
   0x00B07ED0  0x00A867F0  Exception Report Uploader.exe
   0x00B07ED8  0x00A867C8  *.dll
--- table at 0x00B07EE4 [.data] 6 entries ---
   0x00B07EE4  0x3F800000  CN_PDBS
   0x00B07EEC  0x00A806E0  .sc4
